,mfcc_0,mfcc_1,mfcc_2,mfcc_3,mfcc_4,mfcc_5,mfcc_6,mfcc_7,mfcc_8,mfcc_9,mfcc_10,mfcc_11,mfcc_12,mfcc_13,mfcc_14,mfcc_15,mfcc_16,mfcc_17,mfcc_18,mfcc_19
XC217722,-502.8645,41.427174,-35.823692,9.585793,-33.795177,-5.536444,-2.012408,-9.059269,-5.021517,4.5027237,-4.164276,2.4413133,-2.9484625,0.15098754,-5.758978,0.73485816,-6.5634346,-1.7227569,-5.2309775,1.1937855
XC358615,-395.4582,71.00666,-37.682625,4.746556,-12.364417,-1.5548981,-7.3197117,-6.7208114,-6.7254553,-4.9989476,-7.7951946,-1.7516615,-6.9904146,-1.9023877,-7.4335766,-0.2624592,-5.235151,-0.4972057,-5.344544,-0.014602131
XC481135,-393.83026,64.95727,8.015706,1.9397863,-21.81407,-2.1390975,-27.661457,-7.0006766,-14.507809,-8.551077,-9.683672,-2.7697487,-12.446683,-6.184929,-8.607477,-5.787906,-9.116448,-1.5329732,-7.21491,-3.3907733
XC451183,-324.7496,32.235092,-43.491676,-19.469685,-3.724704,-6.957862,-3.996056,4.4432473,-4.518927,1.7201201,-5.4181385,-0.6460363,-2.971465,-0.56085557,-2.1868722,3.6308713,-1.532348,1.3545678,-3.0746076,2.6875467
XC413024,-435.37015,90.675644,-4.9589586,21.102533,1.8241386,4.829237,0.100168645,3.8034956,-9.241299,2.935909,-6.1626143,0.78290814,-4.9304986,-4.194005,-5.5844316,-0.027870331,-7.9591703,-3.512933,-6.804769,-4.155244
XC217731,-430.44293,75.99342,-11.45426,-14.242583,-16.354422,-9.096387,-12.096816,-8.285034,-8.736809,1.3237422,-4.962205,2.613002,-2.9191172,0.7804262,-5.614763,1.6302315,-3.8680897,1.9837358,-4.4892,0.2641242
XC297437,-616.8635,-160.15402,-52.222248,24.974823,20.721888,20.714148,-25.631805,7.7074146,-13.29964,9.632924,-1.4058616,3.5010438,-2.6023839,-0.21988136,-0.38956454,1.5224102,-1.7027814,1.3804106,-2.6274781,2.9152498
XC149395,-738.63336,-100.44536,-21.647936,26.200565,-44.79322,49.600304,-12.024484,9.485646,-6.7808604,-10.104589,-1.1006966,6.6763783,2.4182098,-3.051328,6.033211,-5.560534,-1.7987123,2.8716083,-2.4623992,2.6541352
XC149392,-691.60016,-68.08315,0.015391681,18.44357,-22.249409,17.890814,-9.029308,6.8243084,6.300293,-2.3415012,3.1103985,-6.5702553,0.26970273,-2.025756,-2.7546093,8.243975,-4.369959,0.66939205,-11.270106,1.2680255
XC149402,-654.08203,-113.71858,-27.474781,18.772505,0.8494757,30.629581,-26.966196,10.554405,-16.268698,3.6549542,12.869148,-5.7990894,4.104985,-9.039921,1.3816222,3.8189406,-1.6565707,4.4593143,-6.945206,5.0810194
