ccqt_0,ccqt_1,ccqt_2,ccqt_3,ccqt_4,ccqt_5,ccqt_6,ccqt_7,ccqt_8,ccqt_9,ccqt_10,ccqt_11
0.7736898,1.0,0.8837504,0.69147635,0.5565294,0.28708857,0.26295054,0.36491683,0.33765835,0.3984265,0.4226304,0.14157988
0.74908686,1.0,0.76236326,0.46835202,0.40476283,0.20874672,0.19386382,0.25622788,0.13026242,0.18837416,0.4222879,0.578818
0.66294146,1.0,0.62997866,0.4619991,0.48583174,0.25920302,0.13563429,0.2773151,0.28630158,0.22305728,0.31879961,0.29925987
0.6125306,1.0,0.47831836,0.3312666,0.27023852,0.19951223,0.13844654,0.22290628,0.229307,0.31252623,0.5342441,0.36448088
0.6366913,1.0,0.31077,0.24575906,0.21879141,0.27072325,0.28588828,0.52008724,0.63553196,0.38572305,0.34313136,0.24291807
0.69845164,1.0,0.32551765,0.20529532,0.20182881,0.25148496,0.16509588,0.23383415,0.24847403,0.38833785,0.4809578,0.40421984
0.7934851,1.0,0.43834478,0.24146076,0.19215758,0.21965441,0.22701691,0.25318864,0.26266915,0.45426786,0.5987721,0.5576718
0.85367465,1.0,0.5343515,0.2829897,0.21783456,0.17390084,0.2392186,0.22792824,0.26797906,0.2725171,0.25960624,0.41626674
0.9250173,1.0,0.5695795,0.32490247,0.2844425,0.16864203,0.26291016,0.20921746,0.2125608,0.33738193,0.2346986,0.28563797
0.19773537,0.20541112,0.13835822,0.08752224,0.075139925,0.031184599,0.089758456,0.21848188,0.59685445,1.0,0.52810943,0.0646689
0.10886272,0.09852081,0.07884005,0.046554066,0.034800213,0.018418953,0.031121664,0.024741055,0.03509145,0.1042566,0.75775576,1.0
0.33423352,0.27599102,0.26439154,0.15204158,0.098673,0.07748892,0.11320566,0.20737019,0.7516999,1.0,0.793402,0.337796
0.70549333,0.5084107,0.60634494,0.34937927,0.23235866,0.1982264,0.28991213,0.3210816,0.27411485,0.6301669,1.0,0.6829869
1.0,0.6155123,0.96144176,0.5528381,0.39297894,0.26076642,0.36380836,0.43348923,0.40703908,0.41114646,0.9849896,0.9437536
0.25988075,0.14814611,0.2777176,0.15172124,0.13029055,0.073356286,0.170463,0.65014595,1.0,0.5375716,0.20624931,0.15752785
0.16352236,0.09649408,0.15325643,0.068650864,0.074335776,0.044156995,0.057453673,0.06847836,0.086001635,0.56136847,1.0,0.5169598
0.5046284,0.3538002,0.43131244,0.17593902,0.17803937,0.14069915,0.20617267,0.41576734,1.0,0.81584746,0.18316177,0.124890104
1.0,0.7300391,0.78321743,0.3952316,0.31683344,0.26833484,0.27558956,0.25420254,0.6166273,0.98410094,0.70716226,0.34345707
0.9484009,0.7074486,0.64843976,0.46996784,0.41432396,0.35730827,0.22119018,0.15198614,0.469014,1.0,0.9436287,0.44222087
1.0,0.80761755,0.64830494,0.5822104,0.5783989,0.51883334,0.25573665,0.26758432,0.49078533,0.5627299,0.5286798,0.3857089
1.0,0.857368,0.57334507,0.6815694,0.73477614,0.5963118,0.2975025,0.2907547,0.49023592,0.5087047,0.4133683,0.3173422
1.0,0.92638165,0.47236013,0.6691756,0.7964571,0.6685705,0.34126595,0.25736418,0.48959154,0.51719487,0.39341202,0.31098387
0.25641567,0.27232322,0.11603845,0.16543995,0.22289687,0.18484122,0.09688352,0.102013245,0.41893145,1.0,0.822848,0.2565926
0.27734223,0.34343788,0.13799068,0.19222717,0.25308776,0.22404818,0.09417301,0.064157166,0.21069409,0.43223515,1.0,0.73581094
0.64723593,1.0,0.49592525,0.54585856,0.7187547,0.6398721,0.35106575,0.7997098,0.8550165,0.6498442,0.8079664,0.5691214
0.613686,1.0,0.63983893,0.62730545,0.82727915,0.6553958,0.25524065,0.28525564,0.39096034,0.3871129,0.2738432,0.2737986
0.59320706,1.0,0.7495767,0.6516086,0.81757855,0.69795424,0.33565873,0.27727163,0.35773334,0.4727629,0.4296554,0.2654942
0.5194114,1.0,0.81725526,0.67218053,0.8192503,0.7207392,0.361646,0.32805783,0.41150993,0.3108728,0.30012894,0.23955704
0.44807217,0.99448454,1.0,0.72195315,0.7802656,0.66212744,0.35230002,0.27150673,0.29331672,0.21091323,0.2474244,0.26161215
0.4881652,1.0,0.84537596,0.40427336,0.717174,0.7007827,0.37191138,0.17064881,0.35690925,0.36296335,0.38431898,0.20853743
0.5516058,1.0,0.79403836,0.269696,0.63784236,0.6971794,0.38282812,0.14367932,0.23248987,0.19491164,0.22738726,0.29900572
0.70635164,1.0,0.7152808,0.28043342,0.6079343,0.59462535,0.3242784,0.18944943,0.2589976,0.32943103,0.36776522,0.30372366
0.85321844,1.0,0.56343764,0.35754487,0.6451276,0.5418828,0.3139879,0.27143806,0.16997288,0.23953126,0.2350551,0.3357384
0.18320268,0.19569986,0.091459595,0.08507645,0.14002083,0.092471875,0.055794224,0.0972173,0.04378023,0.4571514,1.0,0.64507455
0.1630446,0.16011627,0.069958284,0.09677146,0.12710762,0.07127274,0.046251193,0.055634454,0.034995466,0.12034447,0.7969841,1.0
0.8405711,0.80119294,0.35141394,0.5556459,0.77154285,0.5255043,0.47342685,0.6912978,0.5709527,0.33565432,0.9533381,1.0
